"name"	"nmol"	"charge"	"massdiff"	"oidscore"	"quasi"	"ips"
"[M+H]+"	1	1	1.007276	1	1	1
"[M+2H]2+"	1	2	2.014552	2	0	0.75
"[M+Na]+"	1	1	22.989218	8	1	1
"[M+2Na]2+"	1	2	45.978436	9	0	0.5
"[M+K]+"	1	1	38.963158	10	1	1
"[M+2K]2+"	1	2	77.926316	13	0	0.5
"[2M+H]+"	2	1	1.007276	1	0	0.5
"[2M+2H]2+"	2	2	2.014552	2	0	0.5
"[2M+Na]+"	2	1	22.989218	8	0	0.5
"[2M+2Na]2+"	2	2	45.978436	9	0	0.5
"[2M+K]+"	2	1	38.963158	10	0	0.5
"[2M+2K]2+"	2	2	77.926316	13	0	0.5
"[M+Na+HCOOH]+"	1	1	68.994688	87	0	0.25
"[M+K+HCOOH]+"	1	1	84.968628	88	0	0.25
"[M+H+HCOOH]+"	1	1	47.012746	90	0	0.25
"[M+H-NH3]+"	1	1	-16.019274	35	0	0.25
"[M+H-HCOOH]+"	1	1	-44.998194	49	0	0.25
"[M+H-H2O]+"	1	1	-17.008024	37	0	0.25
